CODE;price;old price;ostatok
121975;16190;;0
121976;24680;31990.00;0
121977;26740;;0
121978;16090;;0
121979;18110;21130.00;0
121986;39980;46640.00;0
121987;49980;58310.00;0
121988;36190;42220.00;0
121989;50990;59490.00;0
121990;84290;;20
121991;235690;;27
121992;333490;;21
121993;102290;;16
121994;74790;;0
121995;32530;37950.00;0
121996;55670;64950.00;0
122013;22790;;58
124804;57880;68194.00;8
124805;66607;78476.00;13
124812;56999;62280.00;14
124813;102916;;6
124815;106712;116601.00;19
124818;100542;;15
124954;33744;;777777
124955;33744;;777777
124971;70740;;777777
125469;59090;;0
125470;77790;;0
125474;59090;;4
125475;79000;;0
125478;41390;;0
125480;41690;;1
125483;41690;;1
125749;21850;;777777
125969;19990;;41
125970;25990;;0
125971;14990;;33
125990;29880;;0
125991;7950;;0
125996;11200;;0
125998;15260;;0
126000;8510;;0
126003;12000;26060.00;0
126004;19490;;6
126005;34490;;230
126006;19490;;88
126021;26390;;34
126025;17990;;0
126508;6999;;22
126509;4990;;0
126510;9999;;87
126511;7990;;44
126512;8999;;7
126513;4990;;17
126514;14599;;28
126515;7990;;0
126700;39525;61760.00;0
126701;39525;61760.00;0
126702;53515;83615.00;0
126703;53515;83615.00;0
126704;38210;59700.00;0
126705;76420;119400.00;0
126706;50980;79650.00;0
126707;33970;53075.00;0
126708;45765;71510.00;0
126710;30925;48320.00;0
126711;25040;;0
126712;72945;113975.00;1
126713;31360;49000.00;21
126714;42695;66710.00;0
126716;18685;29195.00;0
126717;28920;45185.00;0
126718;23505;36725.00;15
126719;57805;90320.00;0
126720;117690;183890.00;1
126721;117690;183890.00;0
126722;32875;51365.00;3
126723;42690;66700.00;0
126724;18050;28200.00;0
126725;26340;41150.00;0
126726;42070;65735.00;0
126727;42070;65735.00;0
126728;42070;65735.00;0
126729;53515;83615.00;2
126730;53515;83615.00;0
126731;53515;83615.00;0
126732;53515;83615.00;0
126733;42760;66815.00;10
126734;41130;64265.00;12
126735;56100;87650.00;9
126736;53580;83715.00;0
126739;31475;49175.00;8
126740;40865;63850.00;2
126741;58360;91190.00;0
126742;58500;91400.00;1
126743;33840;52875.00;6
126744;43510;67985.00;0
126745;14825;23165.00;0
126746;49360;77120.00;0
126749;30705;47975.00;0
126750;60800;95000.00;0
126751;50035;78175.00;4
126752;37345;58350.00;40
126753;43930;68640.00;2
126754;56635;88490.00;5
126755;43930;68640.00;3
126756;59485;92945.00;0
126757;53515;83615.00;0
126758;38250;59765.00;0
126759;89850;140390.00;0
126760;89850;140390.00;1
126761;22945;35850.00;0
126762;38020;59400.00;0
126763;41130;64265.00;0
126764;55840;87245.00;0
